order_id,latency_ns
1868,500
1866,5500
1869,500
1276,1484400
1870,500
1872,500
1680,468200
1875,800
1760,276100
1766,263000
1876,500
1291,1466600
1878,500
1871,20000
1880,500
1750,316900
1819,149100
1847,84700
1740,347000
1881,500
1775,261000
1882,600
1884,500
1888,600
1887,3400
1890,500
1889,3300
1891,500
1856,88800
1877,36100
1892,500
1883,22400
1893,600
1899,500
1885,33500
1836,158700
1879,50700
1900,400
1896,10700
1898,7500
1894,16400
1903,500
1886,43600
1904,400
1907,500
1834,185300
1817,222900
1908,500
1901,19400
1909,500
1902,20000
1911,500
1913,500
1912,3400
1915,500
1918,500
1917,3200
1914,11100
1919,600
1922,500
1921,2500
1923,500
1925,500
1928,500
1926,4900
1916,32700
1929,600
1931,500
1930,2600
1934,500
1935,500
1936,500
1927,23100
1933,9200
1937,500
1920,45400
1938,500
1932,18400
1942,400
1939,5800
1941,3600
1943,500
1940,9800
1947,500
1906,106000
1924,59700
1949,500
1946,8400
1950,500
1905,116100
1951,400
1955,500
1953,4700
1958,500
1961,500
1962,500
1963,400
1952,24200
1956,16800
1959,11400
1964,500
1954,24200
1965,500
1967,600
1966,2600
1968,500
1972,500
1973,400
1970,6700
1971,5500
1974,600
1976,500
1969,16900
1979,500
1980,500
1981,400
1982,500
1977,13000
1983,500
1985,500
1984,2700
1988,500
1989,500
1990,600
1991,500
1987,10400
1992,500
1994,500
1960,85600
1995,400
1996,500
1986,27900
1944,130200
2001,700
1998,6700
1999,5600
2004,500
2003,2500
2005,500
2009,500
2006,6800
2010,500
2002,17000
2011,500
2012,400
2008,9300
2013,500
2014,500
2018,500
1823,482800
2019,400
2017,5400
2016,8400
2020,600
2024,500
2025,600
2026,400
1948,190100
1945,198900
2030,500
2031,400
1957,180100
2033,500
2037,500
2032,11200
2040,400
2035,12500
2042,1500
2043,500
2044,500
2015,66300
2045,500
2050,400
1975,178000
2054,500
2007,108400
2056,500
2055,2600
2057,500
2034,52700
2058,400
2052,15800
2059,500
2036,54200
2062,500
2061,2500
2064,400
2028,83500
2066,500
2000,153600
2068,500
2069,500
1978,217200
2071,400
2070,2900
2073,500
2065,19700
2074,500
2048,64800
1993,193100
2075,500
2039,86600
2023,123600
2076,500
2078,500
2077,3500
2067,30300
2087,400
2088,400
2085,6800
2089,500
2080,21900
2091,500
2083,18300
2090,3800
2086,13700
2092,500
1997,226000
2093,500
2021,174100
2094,500
2038,136600
2096,600
2095,2700
2097,500
2099,400
2100,500
2046,134500
2102,500
2072,96100
2104,600
2107,600
2105,4700
2022,224900
2108,500
2060,140200
2109,500
2027,218400
2110,400
1754,892500
1648,1154500
2112,500
1724,972000
2114,500
2113,2600
2041,213100
2098,74500
2115,600
1792,824800
2116,500
2118,500
2119,400
1767,893300
2120,500
2121,600
2101,85100
2122,500
2123,500
2084,129900
2049,219200
2125,500
2124,2500
2051,219200
2126,500
2079,151400
2127,500
2053,220400
2128,600
2132,500
2130,4400
2133,500
2063,208400
2082,159200
2029,287500
2134,500
2135,500
2137,500
2103,144500
2138,600
2129,67400
2139,500
1874,731900
1797,919000
2140,600
2145,500
2142,6400
2081,236600
2146,400
2144,7400
2152,600
2149,7400
2147,12800
2153,500
2154,500
2141,30400
2156,400
2161,600
2157,9900
2160,4000
2165,600
2164,3100
2166,500
2167,400
2143,57100
2168,600
2136,78000
2169,500
2171,500
2170,2600
2172,600
2106,223200
2175,500
2173,5700
2155,51200
2177,600
2176,2700
2178,500
2180,600
